id_item,id_pedido,id_produto,quantidade,valor_unitario
152,80,57,2,4519.85
153,80,286,4,199.1
154,81,186,1,1123.75
155,81,38,1,1596.12
156,82,28,4,32.52
157,82,245,4,947.68
158,82,194,4,138.12
159,82,70,3,1656.97
160,83,245,4,937.57
161,83,2,3,273.99
162,84,28,1,31.79
163,85,153,2,334.25
164,85,138,2,158.41
165,86,237,1,102.45
166,87,9,3,3774.23
167,88,132,2,808.58
168,88,8,2,1324.67
169,89,206,2,391.66
170,89,235,2,144.46
171,90,108,3,999.59
172,91,87,4,3348.73
173,91,51,4,483.85
174,91,177,3,183.08
175,92,187,1,73.18
176,92,2,2,281.76
177,92,255,1,1980.3
178,93,28,4,34.2
179,94,25,4,2123.49
180,94,256,2,1499.65
181,94,96,4,1798.02
182,95,241,3,723.48
183,95,68,2,31.25
184,96,290,3,171.43
185,97,151,2,1143.45
186,97,138,4,142.19
187,97,124,4,1015.26
188,97,290,4,192.96
189,98,125,1,1275.01
190,99,131,1,112.7
191,99,142,2,828.22
192,100,268,3,1590.91
193,101,27,1,1489.68
194,101,94,4,281.63
195,102,55,4,1229.34
196,102,282,1,2893.82
197,103,216,4,937.79
198,104,68,4,31.97
199,104,139,2,1068.69
200,104,185,1,540.73
201,105,131,2,101.76
202,106,204,1,1314.32
203,107,174,3,1012.05
204,107,281,2,1382.72
205,108,251,3,5277.38
206,108,11,3,3799.39
207,109,291,1,126.99
208,109,218,4,206.86
209,110,169,4,738.41
210,110,184,4,217.87
211,110,84,1,3789.52
212,111,48,1,578.08
213,111,46,1,2040.42
214,112,87,2,3534.56
215,112,133,2,604.11
216,112,120,3,2439.78
217,113,247,4,1745.97
218,114,47,2,400.51
219,114,128,3,504.75
220,115,10,4,247.81
221,116,115,1,290.17
222,117,30,4,106.6
223,117,279,1,1122.57
224,118,19,4,1361.7
225,118,215,1,1209.63
226,118,282,3,2910.63
227,118,176,2,4489.95
228,118,258,1,301.51
229,119,152,3,2110.76
230,119,136,3,2685.67
231,120,276,4,2785.22
232,121,210,2,315.24
233,121,201,1,348.59
234,122,156,2,64.38
235,122,145,2,352.88
236,123,199,4,120.98
237,123,139,3,1144.42
238,123,51,4,494.74
239,123,169,3,819.84
240,124,16,1,1969.82
241,125,94,3,274.28
242,125,43,1,96.32
243,125,17,4,280.92
244,126,224,2,438.51
245,127,209,4,3818.41
246,127,85,1,273.13
247,127,44,3,1681.39
248,127,124,3,984.81
249,127,101,4,204.58
250,128,185,3,560.42
251,128,38,2,1924.9
252,128,273,4,1180.04
253,129,149,2,355.49
254,129,285,3,398.5
255,130,90,3,414.46
256,131,101,4,225.3
257,131,177,4,185.27
258,132,287,3,329.91
259,132,114,3,116.89
260,133,243,4,70.24
261,134,97,4,1773.32
262,134,224,1,406.07
263,134,179,3,30.52
264,135,33,3,286.67
265,136,198,2,273.43
266,137,202,3,346.65
267,137,75,4,38.09
268,137,298,4,579.98
269,138,38,2,1811.78
270,139,79,4,897.29
271,139,9,2,3841.17
272,140,288,1,290.15
273,140,131,3,98.47
274,141,16,4,1887.13
275,141,72,4,2196.45
276,142,252,3,130.46
277,143,264,3,1096.32
278,144,21,2,2413.63
279,145,67,4,271.54
280,145,154,2,3015.31
281,146,278,4,358.75
282,147,9,1,3470.68
283,148,193,4,67.64
284,148,288,4,323.24
285,148,76,4,910.55
286,149,24,1,4576.64
287,149,65,3,165.34
288,150,56,1,2570.43
289,151,131,1,111.24
290,152,111,4,160.37
291,153,153,4,350.52
292,153,62,4,146.79
293,154,152,1,2245.36
294,155,53,4,78.17
295,156,216,3,996.27
296,156,158,2,464.27
297,156,92,3,210.66
298,156,91,4,3987.12
299,157,274,1,629.95
300,157,93,3,218.78
301,157,24,3,5083.68
302,158,243,4,59.1
303,158,238,4,1408.72
304,158,279,4,1155.49
305,159,9,4,3687.3
306,159,297,1,326.02
307,159,225,3,2258.92
308,160,250,2,1162.85
309,161,73,4,1352.5
310,161,18,2,238.19
311,162,95,2,173.44
312,163,250,4,1097.7
313,163,231,2,243.69
314,164,258,2,287.15
315,164,11,4,3917.35
316,165,176,4,4549.66
317,166,120,3,2069.12
318,166,56,2,2711.7
319,166,261,4,62.22
320,167,272,1,1405.48
321,168,234,3,159.38
322,169,157,1,2589.55
323,169,124,2,1023.16
324,169,284,2,337.67
325,169,51,1,480.95
326,170,253,4,127.33
327,171,177,1,162.8
328,171,252,2,114.92
329,172,43,3,106.29
330,172,14,4,1595.41
331,173,297,3,312.3
332,174,92,4,187.25
333,174,87,1,3366.27
334,174,99,1,4495.55
335,174,37,2,53.23
336,174,245,1,980.08
337,175,252,2,123.32
338,175,24,3,4682.71
339,176,217,3,3558.29
340,176,161,4,193.22
341,177,207,2,81.93
342,177,25,2,1819.42
343,177,66,1,2437.4
344,178,106,2,208.4
345,179,148,3,5341.38
346,179,232,1,406.53
347,179,234,2,189.61
348,180,255,3,2054.61
349,180,52,2,2194.89
350,180,55,2,1257.0
351,181,239,2,311.11
352,182,50,2,581.88
353,182,231,1,241.94
354,182,207,4,78.82
355,183,165,3,84.45
356,183,27,2,1784.22
357,184,262,4,1590.87
358,185,255,2,2057.01
359,186,88,3,520.26
360,186,146,2,550.7
361,186,121,2,92.61
362,187,270,2,505.18
363,187,199,1,121.93
364,188,236,3,255.19
365,188,292,3,1552.72
366,188,147,2,618.46
367,188,83,2,3332.72
368,188,73,3,1338.17
369,189,62,1,138.86
370,189,24,4,5139.43
371,190,195,1,1253.92
372,191,184,3,233.76
373,191,48,2,562.54
374,191,260,2,175.99
375,192,2,2,269.12
376,192,118,2,2854.55
377,193,252,1,122.84
378,194,280,2,713.22
379,194,38,1,1880.15
380,194,62,2,149.04
381,195,27,4,1542.62
382,195,116,4,213.62
383,196,64,2,1516.29
384,197,106,2,221.19
385,198,111,1,154.68
386,199,272,4,1404.17
387,199,165,1,81.71
388,200,256,4,1389.22
389,201,109,2,2121.22
390,201,285,1,360.23
391,201,23,3,166.0
392,202,147,2,560.69
393,203,40,3,155.66
394,203,176,2,4662.02
395,204,163,1,1452.65
396,204,231,4,266.8
397,205,249,3,892.23
398,206,286,4,209.99
399,206,186,1,978.95
400,207,14,4,1360.73
401,208,62,3,144.33
402,209,216,1,1001.54
403,209,66,1,2291.91
404,210,92,4,200.26
405,211,47,3,401.43
406,211,105,3,3805.44
407,211,194,4,139.7
408,212,145,1,353.31
409,212,172,1,778.94
410,212,284,2,318.74
411,212,187,2,79.0
412,213,204,2,1257.44
413,214,115,1,314.11
414,215,162,2,222.16
415,216,17,3,315.12
416,217,135,4,1535.97
417,217,269,1,2647.66
418,218,90,1,375.47
419,218,83,4,3369.07
420,219,122,1,899.21
421,220,193,2,66.38
422,221,31,1,1067.57
423,221,20,3,1371.91
424,222,152,1,2183.91
425,222,64,2,1766.31
426,223,48,2,481.69
427,224,274,3,698.34
428,225,288,4,314.94
429,225,110,1,307.82
430,226,27,3,1777.88
431,226,182,2,1347.91
432,227,278,2,348.3
433,227,240,3,1702.88
434,228,200,2,353.31
435,229,177,1,168.45
436,229,181,3,67.79
437,229,23,2,178.44
438,229,196,4,2962.51
439,230,205,4,2405.65
440,231,269,2,2775.13
441,231,2,4,259.84
442,232,154,4,3516.94
443,233,103,3,1162.18
444,233,256,1,1511.73
445,234,150,1,134.3
446,234,267,4,120.35
447,234,192,4,3746.84
448,235,204,4,1229.64
449,236,113,3,184.33
450,236,17,2,281.19
451,236,104,4,783.3
452,237,168,1,52.0
453,238,23,2,160.86
454,238,118,1,2901.95
455,238,55,2,1367.38
456,239,126,4,1160.23
457,239,131,3,105.96
458,239,277,2,710.59
459,239,178,2,250.01
460,239,37,4,58.91
461,240,154,3,3272.84
462,241,195,2,1471.63
463,241,165,1,76.47
464,242,191,1,233.76
465,243,225,4,2092.17
466,244,188,2,179.79
467,244,282,1,2711.44
468,244,92,2,182.27
469,245,6,1,1432.76
470,245,31,3,1072.83
471,245,210,4,279.52
472,245,82,1,79.11
473,246,98,4,2782.18
474,247,117,2,276.32
475,248,240,4,1723.27
476,248,178,1,264.9
477,249,22,2,262.17
478,249,267,2,121.43
479,249,21,1,2327.41
480,250,235,4,127.42
481,251,152,2,2032.24
482,252,101,3,190.27
483,252,196,2,3152.84
484,253,156,3,59.49
485,253,236,3,238.18
486,253,281,1,1333.25
487,254,94,1,306.88
488,255,295,3,4047.69
489,256,147,1,585.7
490,256,139,4,1036.18
491,256,164,2,221.76
492,257,251,1,4998.45
493,257,5,1,116.7
494,258,52,2,2237.13
495,259,229,1,2334.49
496,260,279,1,1171.09
497,261,226,2,1041.01
498,262,125,2,1380.2
499,263,95,4,190.36
500,264,88,2,585.42
501,264,180,2,241.39
502,265,193,4,70.55
503,265,134,4,221.24
504,266,183,4,84.63
505,267,35,4,51.82
506,268,170,1,4745.73
507,268,42,4,3092.46
508,268,205,1,2512.4
509,269,11,1,3469.71
510,269,147,2,511.35
511,269,194,3,145.96
512,270,163,4,1236.43
513,270,23,4,157.67
514,270,289,4,852.44
515,271,300,3,342.95
516,272,282,3,2823.66
517,273,23,4,157.99
518,273,186,4,1023.94
519,274,212,2,308.24
520,275,246,2,48.6
521,276,292,4,1469.32
522,277,93,4,242.44
523,278,155,4,3813.14
524,279,40,2,150.34
525,280,289,4,887.27
526,280,158,1,478.01
527,281,104,3,675.92
528,282,90,2,409.21
529,282,233,4,290.49
530,282,3,2,301.87
531,283,204,4,1260.73
532,283,129,2,601.7
533,283,177,4,168.99
534,284,273,1,1021.72
535,285,125,3,1336.46
536,286,210,3,313.67
537,287,176,1,4121.34
538,287,102,4,222.26
539,287,9,2,3623.44
540,287,196,2,2704.42
541,288,57,1,4606.07
542,288,53,4,89.4
543,288,65,4,144.06
544,289,117,3,241.88
545,290,236,1,254.35
546,290,54,4,310.68
547,291,9,2,3469.96
548,291,193,1,63.12
549,292,129,4,661.22
550,292,6,3,1419.14
551,292,121,3,95.56
552,293,107,3,42.68
553,293,121,1,94.42
554,293,226,4,888.83
555,294,22,4,230.06
556,294,52,2,1984.14
557,294,8,2,1454.51
558,295,256,1,1435.62
559,296,32,2,40.87
560,296,213,2,1734.35
561,297,183,4,84.46
562,297,51,2,566.07
563,298,132,4,900.74
564,299,269,3,2470.63
565,299,32,3,44.19
566,300,18,4,222.68
567,300,276,4,3008.03
568,300,53,1,87.93
569,301,240,4,1943.49
570,302,164,4,204.28
571,303,78,4,66.68
572,303,208,2,1083.26
573,303,274,1,657.56
574,304,42,4,3525.23
575,304,96,1,1802.09
576,304,75,2,35.55
577,305,35,4,51.5
578,305,266,2,1232.2
579,305,202,1,366.77
580,306,195,1,1354.6
581,307,93,4,227.78
582,307,79,4,1015.26
583,308,286,3,208.18
584,309,173,1,40.37
585,309,295,4,4506.16
586,310,77,4,247.67
587,310,156,3,56.65
588,311,162,1,224.32
589,312,72,3,2469.01
590,312,243,1,65.93
591,313,216,2,1002.27
592,313,49,3,1445.56
593,314,108,2,1005.58
594,314,264,4,987.57
595,314,122,3,957.98
596,315,64,2,1682.86
597,315,158,4,480.81
598,315,65,2,164.07
599,315,271,1,657.22
600,315,130,1,1292.68
601,316,223,1,941.84
602,317,205,1,2687.37
603,317,245,2,965.68
604,317,164,1,190.97
605,317,179,4,27.78
606,318,92,3,182.87
607,318,137,4,4465.31
608,319,70,4,1736.12
609,319,149,4,326.22
610,320,291,4,126.9
611,320,31,2,1061.55
612,320,17,4,298.97
613,321,161,1,172.31
614,322,277,4,746.81
615,322,54,1,313.02
616,322,15,2,4778.12
617,322,190,1,313.22
618,323,129,2,596.79
619,324,184,3,228.06
620,324,205,4,2658.26
621,324,32,2,45.94
622,325,147,3,586.78
623,326,100,1,1937.57
624,327,262,2,1724.4
625,327,199,3,121.01
626,328,70,1,1703.86
627,328,67,1,260.46
628,329,172,1,751.05
629,330,121,3,96.4
630,330,233,3,293.62
631,330,215,4,1357.11
632,330,275,3,681.11
633,330,161,2,195.84
634,331,241,4,731.64
635,331,139,2,1136.75
636,332,67,4,270.84
637,333,137,2,4289.19
638,333,51,3,480.41
639,333,290,3,160.79
640,333,134,3,244.86
641,333,110,3,317.35
642,334,8,3,1298.68
643,334,191,1,207.58
644,334,285,3,402.72
645,335,61,2,1866.72
646,336,36,3,132.79
647,337,240,3,1696.62
648,337,116,2,239.59
649,337,53,2,82.93
650,338,280,4,721.67
651,338,296,2,1000.76
652,338,75,2,37.17
653,339,6,4,1514.68
654,339,27,3,1543.83
655,339,35,1,52.8
656,339,143,2,552.96
657,339,227,2,2307.5
658,340,209,4,4060.32
659,340,169,1,733.12
660,340,141,4,291.95
661,340,194,3,140.25
662,341,65,1,157.73
663,341,123,4,93.37
664,341,104,4,766.72
665,342,272,3,1378.92
666,343,250,1,1034.59
667,343,140,1,4193.59
668,343,204,3,1164.13
669,343,49,2,1433.59
670,344,71,3,201.9
671,344,218,4,204.42
672,344,252,2,122.85
673,344,105,2,3577.34
674,345,195,1,1309.78
675,345,207,4,77.06
676,345,240,2,1742.72
677,346,165,1,78.68
678,347,299,3,2041.52
679,347,152,1,1941.37
680,348,232,4,438.95
681,349,53,4,84.5
682,350,226,4,1043.21
683,351,74,2,851.87
684,352,235,2,124.27
685,352,21,1,2101.13
686,352,191,2,193.95
687,352,81,4,217.95
688,353,279,2,1080.68
689,354,164,2,197.21
690,354,219,2,453.07
691,354,62,4,130.65
692,354,218,1,188.6
693,354,182,1,1335.21
694,355,27,4,1801.95
695,356,224,2,419.47
696,357,247,4,1786.13
697,357,84,3,3275.18
698,358,59,3,218.45
699,358,54,4,332.99
700,359,251,1,4618.18
701,360,296,4,1145.17
702,361,38,4,1733.71
703,361,31,3,1095.78
704,361,115,3,302.05
705,361,32,4,40.78
706,362,296,3,997.88
707,362,203,4,2741.28
708,363,14,4,1470.09
709,363,159,4,1280.13
710,364,102,1,206.57
711,365,33,1,244.93
712,365,214,1,1967.13
713,366,286,4,220.11
714,367,211,3,1387.24
715,368,198,2,296.87
716,368,93,3,214.77
717,368,104,4,670.33
718,368,222,2,2229.14
719,368,65,4,147.58
720,369,100,4,1945.49
721,370,258,2,272.39
722,370,153,2,343.9
723,370,161,1,169.53
724,370,119,4,2308.8
725,371,10,2,236.71
726,372,150,1,135.19
727,373,290,1,193.34
728,374,179,3,29.74
729,375,58,1,101.76
730,375,248,1,4358.11
731,376,11,3,3588.67
732,376,168,3,57.41
733,376,35,1,53.66
734,377,260,1,151.32
735,377,30,4,92.74
736,377,20,3,1419.28
737,377,21,1,2448.3
738,378,271,2,648.03
739,378,6,4,1445.8
740,378,174,1,979.64
741,379,213,3,1512.55
742,379,251,4,5263.69
743,380,31,1,1004.99
744,381,83,3,2987.9
745,381,82,2,70.97
746,382,40,2,149.08
747,382,153,4,340.38
748,383,241,3,699.04
749,384,230,2,285.48
750,384,2,1,269.5
751,385,131,2,116.27
752,385,179,2,28.54
753,386,101,1,206.29
754,387,71,4,201.38
755,387,208,3,1026.59
756,387,249,4,1028.71
757,388,56,1,2716.61
758,388,175,2,2418.94
759,388,272,4,1229.68
760,388,297,1,282.14
761,388,269,2,2343.65
762,389,108,2,892.88
763,389,156,3,53.82
764,389,150,3,129.84
765,390,207,3,83.09
766,390,181,3,58.38
767,390,63,4,4214.23
768,390,23,2,182.77
769,391,262,1,1752.66
770,391,150,4,142.05
771,392,104,3,675.67
772,392,215,1,1367.47
773,392,115,2,339.15
774,392,1,1,1534.61
775,393,252,2,110.38
776,394,286,1,214.02
777,394,85,1,278.85
778,395,237,3,105.16
779,396,254,1,346.41
780,396,170,4,4671.47
781,396,275,1,781.17
782,396,274,3,730.18
783,397,247,3,1765.06
784,398,214,1,1826.56
785,399,5,3,119.65
786,399,150,4,149.11
787,399,198,4,325.48
788,400,19,2,1352.42
789,400,55,1,1410.76
790,400,88,3,494.82
791,400,266,2,1206.99
792,401,50,1,521.34
793,402,44,3,1597.78
794,403,21,3,2066.57
795,404,72,2,2464.46
796,404,26,2,299.8
797,405,265,4,72.22
798,405,53,4,88.24
799,405,85,1,289.14
800,405,283,2,2465.39
801,406,65,1,149.05
802,406,194,1,148.35
803,406,13,1,4527.23
804,407,203,2,3116.37
805,407,260,3,158.55
806,408,36,3,136.08
807,408,289,3,791.55
808,408,113,4,175.32
809,409,11,4,3849.12
810,410,81,2,216.36
811,411,284,4,317.14
812,411,262,4,1791.4
813,412,298,2,597.55
814,412,281,3,1268.96
815,412,146,1,566.44
816,413,276,4,2908.9
817,413,120,4,2285.26
818,414,16,2,1749.63
819,415,170,3,4326.74
820,416,252,2,131.15
821,416,292,1,1363.61
822,417,73,3,1201.18
823,417,109,2,2127.22
824,418,228,3,4207.34
825,419,273,2,1155.08
826,419,283,3,2115.1
827,419,280,2,691.29
828,420,87,4,3693.89
829,421,177,3,181.12
830,421,70,1,1589.89
831,422,192,1,3865.24
832,422,34,1,35.4
833,422,68,2,36.41
834,422,219,4,519.21
835,423,62,2,128.77
836,423,147,1,542.76
837,423,183,3,99.94
838,424,168,4,55.65
839,425,35,2,52.34
840,426,216,2,974.92
841,426,219,3,479.92
842,427,263,4,82.67
843,427,72,1,2206.97
844,427,251,2,5214.67
845,428,244,2,80.31
846,428,295,3,4622.77
847,428,283,2,2180.44
848,428,223,2,853.32
849,429,12,1,1052.95
850,429,62,4,126.96
851,430,104,4,680.99
852,430,290,1,162.37
853,430,28,2,32.1
854,430,151,3,1146.26
855,430,278,1,383.46
856,431,255,1,1967.62
857,432,144,1,195.82
858,432,196,3,2737.72
859,433,239,1,321.34
860,433,238,2,1321.58
861,434,24,3,4707.33
862,434,262,4,1584.64
863,435,183,4,99.87
864,435,115,2,319.72
865,436,28,4,36.81
866,437,210,1,315.44
867,437,200,1,334.76
868,438,117,2,263.28
869,438,273,2,1046.11
870,439,68,1,34.45
871,439,271,4,652.31
872,440,35,1,60.56
873,440,31,2,955.71
874,440,52,3,2015.29
875,441,261,3,62.95
876,442,181,4,66.14
877,443,217,2,3383.93
878,443,162,2,246.06
879,443,272,4,1308.87
880,444,83,2,2880.25
881,444,197,1,3593.62
882,444,48,1,490.44
883,444,171,1,66.32
884,445,34,4,36.18
885,445,15,1,4725.9
886,446,182,4,1224.5
887,447,19,2,1560.07
888,448,278,2,328.09
889,448,81,1,222.29
890,448,186,3,995.4
891,448,277,1,692.53
892,449,39,1,344.23
893,449,20,3,1217.93
894,450,275,3,761.76
895,451,159,2,1310.28
896,452,290,4,193.03
897,452,83,4,3425.43
898,452,190,2,323.16
899,452,277,1,750.9
900,452,110,1,342.85
901,453,278,3,379.93
902,453,165,2,90.17
903,454,223,1,794.99
904,455,102,1,205.95
905,455,218,2,214.62
906,456,84,1,3193.2
907,457,84,3,3751.51
908,458,5,2,128.58
909,458,160,1,108.29
910,459,276,2,2854.79
911,460,146,3,609.5
912,461,106,2,227.14
913,462,6,1,1467.62
914,463,2,4,272.71
915,464,194,2,148.78
916,465,182,2,1168.94
917,466,144,4,224.8
918,467,18,3,243.1
919,468,248,4,3956.04
920,468,65,1,160.63
921,469,298,4,571.05
922,469,246,2,47.57
923,470,100,3,1879.33
924,470,162,1,205.7
925,470,252,3,128.71
926,471,1,3,1452.54
927,471,192,1,4267.72
928,471,169,1,841.67
929,471,132,2,810.32
930,472,260,1,157.62
931,473,199,1,124.08
932,473,89,1,370.17
933,474,252,3,126.95
934,474,125,4,1301.36
935,475,234,3,168.95
936,475,62,3,152.09
937,475,8,4,1263.34
938,476,181,1,59.45
939,477,157,3,2754.22
940,477,172,3,724.97
941,477,288,2,326.97
942,478,55,3,1344.01
943,479,93,3,210.3
944,479,260,4,169.52
945,480,279,1,1115.18
946,480,155,3,3974.82
947,481,85,1,292.78
948,481,102,3,196.35
949,481,126,2,1257.04
950,482,271,3,697.07
951,482,129,1,599.61
952,482,150,1,129.03
953,483,30,2,111.07
954,484,147,2,601.91
955,484,186,4,1074.41
956,485,173,3,43.72
957,485,238,2,1301.34
958,486,232,1,442.67
959,487,33,4,296.17
960,488,251,2,5026.12
961,489,176,1,5002.33
962,490,161,1,172.07
963,491,241,1,719.64
964,492,241,4,795.22
965,492,37,3,53.09
966,493,274,1,737.46
967,493,143,2,570.47
968,494,129,1,587.41
969,494,150,2,138.56
970,495,264,3,1147.98
971,496,140,3,4349.01
972,496,122,1,921.06
973,496,299,2,2100.63
974,497,130,4,1296.55
975,497,65,1,153.37
976,497,159,4,1253.35
977,498,21,2,2449.22
978,498,48,1,563.84
979,498,110,2,326.65
980,498,277,1,732.33
981,499,172,3,707.94
982,499,121,4,97.94
983,499,90,4,363.77
984,499,139,1,1028.84
985,500,212,3,279.89
986,501,234,1,186.08
987,501,139,3,1087.91
988,502,238,1,1355.37
989,503,52,2,2265.59
990,503,296,1,985.17
991,503,133,2,603.71
992,504,23,3,161.72
993,505,214,2,2041.15
994,505,142,1,979.52
995,506,252,1,125.65
996,506,63,4,4262.92
997,507,122,1,890.29
998,508,231,3,263.72
999,508,260,1,170.26
1000,509,298,1,605.64
1001,509,256,3,1445.21
1002,510,9,4,3519.51
1003,510,68,4,34.3
1004,511,154,4,3428.96
1005,512,45,4,375.69
1006,512,286,1,193.24
1007,513,276,4,3054.4
1008,514,237,1,99.89
1009,514,83,2,3280.26
1010,515,249,4,928.12
1011,516,71,2,183.21
1012,516,149,2,292.96
1013,516,166,3,112.88
1014,516,126,4,1285.76
1015,517,101,1,213.96
1016,518,267,2,118.72
1017,519,108,1,909.14
1018,520,36,3,132.67
1019,520,66,4,2433.01
1020,520,272,4,1349.74
1021,521,285,3,438.09
1022,522,102,3,206.2
1023,522,104,2,654.6
1024,523,17,4,280.24
1025,524,160,1,103.44
1026,524,182,2,1297.12
1027,524,256,1,1564.65
1028,524,237,1,96.33
1029,525,263,4,95.34
1030,525,42,2,2969.76
1031,526,139,3,1111.58
1032,526,209,3,4192.21
1033,527,225,1,2019.16
1034,527,74,3,997.73
1035,527,68,2,35.39
1036,527,84,2,3255.31
1037,528,251,1,4968.69
1038,528,263,3,93.78
1039,528,257,4,79.52
1040,528,126,1,1319.49
1041,529,25,2,2027.98
1042,530,296,4,1105.08
1043,530,163,3,1436.12
1044,530,181,1,64.05
1045,531,148,2,5190.83
1046,532,152,1,2269.49
1047,532,135,2,1529.13
1048,533,85,1,307.46
1049,533,266,2,1206.44
1050,534,139,2,991.97
1051,535,105,3,3283.01
1052,536,132,1,828.26
1053,537,265,2,72.46
1054,537,271,1,728.14
1055,538,41,2,3622.31
1056,538,147,1,584.16
1057,539,257,2,73.37
1058,539,163,4,1342.91
1059,539,197,4,4064.94
1060,539,234,2,175.12
1061,540,137,1,4841.95
1062,541,3,2,305.7
1063,542,144,1,222.73
1064,542,74,4,895.58
1065,543,293,4,355.52
1066,543,52,2,2165.21
1067,544,279,3,1173.22
1068,544,186,4,1121.22
1069,544,204,1,1227.81
1070,545,223,4,801.62
1071,546,145,4,331.69
1072,546,214,3,2159.57
1073,547,37,1,54.43
1074,548,231,2,276.11
1075,548,198,3,321.62
1076,548,116,4,216.58
1077,548,290,4,175.27
1078,548,58,3,95.38
1079,549,241,3,695.79
1080,550,70,3,1595.63
1081,551,5,2,133.59
1082,552,3,1,307.66
1083,552,44,1,1649.9
1084,552,38,3,1600.68
1085,553,182,1,1280.02
1086,554,102,2,202.69
1087,554,113,3,162.94
1088,555,94,2,254.79
1089,556,12,4,921.56
1090,557,178,2,271.93
1091,557,120,3,2183.02
1092,558,233,4,282.85
1093,559,282,2,2905.52
1094,559,151,2,1064.5
1095,559,131,4,107.42
1096,559,232,3,457.92
1097,560,110,3,326.58
1098,560,103,2,1341.13
1099,560,6,3,1297.37
1100,561,80,4,69.03
1101,561,128,4,472.51
1102,561,258,3,261.22
1103,562,248,1,3904.9
1104,563,80,3,73.96
1105,564,4,3,58.21
1106,564,251,4,4713.06
1107,565,116,1,252.3
1108,565,189,1,505.4
1109,565,27,1,1768.95
1110,565,143,1,545.38
1111,566,204,4,1379.01
1112,566,194,1,138.36
1113,566,71,1,194.68
1114,567,225,4,2147.4
1115,567,255,1,1981.67
